,,,fidelity_x_EXPLAN,exp_size_EXPLAN,cv_cv_EXPLAN,precision_EXPLAN,fidelity_X_EXPLAN,coverage_EXPLAN,coverage_X_EXPLAN,n_samples_EXPLAN,distance_EXPLAN,balance_rate_X_EXPLAN,time_EXPLAN,fidelity_x_LORE,exp_size_LORE,cv_cv_LORE,precision_LORE,fidelity_X_LORE,coverage_LORE,coverage_X_LORE,n_samples_LORE,distance_LORE,balance_rate_X_LORE,time_LORE,fidelity_x_Anchor,exp_size_Anchor,cv_cv_Anchor,precision_Anchor,fidelity_X_Anchor,coverage_Anchor,coverage_X_Anchor,n_samples_Anchor,distance_Anchor,balance_rate_X_Anchor,time_Anchor,fidelity_x_LIME,exp_size_LIME,fidelity_X_LIME,time_LIME
,,AVERAGE,=average(D4:D4000),=average(E4:E4000),=average(F4:F4000),=average(G4:G4000),=average(H4:H4000),=average(I4:I4000),=average(J4:J4000),=average(K4:K4000),=average(L4:L4000),=average(M4:M4000),=average(N4:N4000),=average(O4:O4000),=average(P4:P4000),=average(Q4:Q4000),=average(R4:R4000),=average(S4:S4000),=average(T4:T4000),=average(U4:U4000),=average(V4:V4000),=average(W4:W4000),=average(X4:X4000),=average(Y4:Y4000),=average(Z4:Z4000),=average(AA4:AA4000),=average(AB4:AB4000),=average(AC4:AC4000),=average(AD4:AD4000),=average(AE4:AE4000),=average(AF4:AF4000),=average(AG4:AG4000),=average(AH4:AH4000),=average(AI4:AI4000),=average(AJ4:AJ4000),=average(AK4:AK4000),=average(AL4:AL4000),=average(AM4:AM4000),=average(AN4:AN4000)
,,STDDEV,=stdev(D4:D4000),=stdev(E4:E4000),=stdev(F4:F4000),=stdev(G4:G4000),=stdev(H4:H4000),=stdev(I4:I4000),=stdev(J4:J4000),=stdev(K4:K4000),=stdev(L4:L4000),=stdev(M4:M4000),=stdev(N4:N4000),=stdev(O4:O4000),=stdev(P4:P4000),=stdev(Q4:Q4000),=stdev(R4:R4000),=stdev(S4:S4000),=stdev(T4:T4000),=stdev(U4:U4000),=stdev(V4:V4000),=stdev(W4:W4000),=stdev(X4:X4000),=stdev(Y4:Y4000),=stdev(Z4:Z4000),=stdev(AA4:AA4000),=stdev(AB4:AB4000),=stdev(AC4:AC4000),=stdev(AD4:AD4000),=stdev(AE4:AE4000),=stdev(AF4:AF4000),=stdev(AG4:AG4000),=stdev(AH4:AH4000),=stdev(AI4:AI4000),=stdev(AJ4:AJ4000),=stdev(AK4:AK4000),=stdev(AL4:AL4000),=stdev(AM4:AM4000),=stdev(AN4:AN4000)
0,german,gt,1,2,0.675,0.733,0.957,0.150,0.542,1082,1233206,1.000,1.070,1,2,1.882,0.930,0.997,0.570,0.526,1010,63604,0.971,6.657,1,2,0.620,0.952,1.000,0.210,0.204,4613,8413754,0.683,0.588,1,9,0.294,16.428,EXPLAN Rule -> ,{'credit_amount': '2910.0< credit_amount <=4169.0'},LORE Rule ->,{'age': '>20', 'duration_in_month': '<=23'},Anchor Rule ->,{'duration_in_month': '<=18.00', 'purpose': 'domestic appliances'}
1,german,gt,1,8,0.614,1.000,0.941,0.010,0.014,642,1328118,0.983,1.777,1,2,3.810,1.000,0.990,0.180,0.483,995,92296,0.993,6.967,1,2,0.583,0.857,1.000,0.070,0.123,7615,18787644,0.683,0.829,1,10,0.189,16.491,EXPLAN Rule -> ,{'credit_amount': '<=4473.0', 'duration_in_month': '<=33', 'purpose': 'car (new)', 'credit_history': 'existing credits paid back duly till now', 'telephone': 'yes, registered under the customers name', 'account_check_status': '< 0 DM', 'age': '>32'},LORE Rule ->,{'age': '>33', 'duration_in_month': '<=19'},Anchor Rule ->,{'age': '>33.00', 'installment_as_income_perc': '3'}
2,german,gt,1,4,0.678,1.000,0.977,0.010,0.016,800,432215,0.999,1.262,1,3,1.974,0.667,0.976,0.030,0.501,1067,166439,0.942,6.891,1,4,0.570,1.000,1.000,0.020,0.044,6814,11311520,0.812,0.799,1,7,0.271,16.359,EXPLAN Rule -> ,{'credit_amount': '2186.0< credit_amount <=2538.0', 'credit_history': 'all credits at this bank paid back duly', 'account_check_status': '< 0 DM'},LORE Rule ->,{'age': '>20', 'credit_history': 'all credits at this bank paid back duly', 'account_check_status': '< 0 DM'},Anchor Rule ->,{'credit_history': 'all credits at this bank paid back duly', 'account_check_status': '< 0 DM', 'age': '<=33.00', 'credit_amount': '<=2333.00'}
3,german,gt,1,6,0.731,1.000,0.948,0.010,0.012,574,79532,0.995,1.975,0,6,2.176,0.500,0.992,0.020,0.043,1009,112289,0.974,6.905,1,2,0.594,1.000,1.000,0.030,0.112,2700,4628654,0.657,0.411,1,8,0.279,16.702,EXPLAN Rule -> ,{'credit_amount': '1092.0< credit_amount <=1318.0', 'account_check_status': '>= 200 DM / salary assignments for at least 1 year', 'credit_history': 'existing credits paid back duly till now', 'property': 'real estate', 'duration_in_month': '<=15'},LORE Rule ->,{'age': '22.0< age <=23.0', 'duration_in_month': '11.0< duration_in_month <=12.0'},Anchor Rule ->,{'account_check_status': '>= 200 DM / salary assignments for at least 1 year', 'purpose': 'domestic appliances'}
4,german,gt,1,5,0.791,1.000,0.912,0.020,0.044,1182,2976662,0.991,1.418,1,4,2.757,1.000,0.997,0.130,0.529,978,182709,0.945,6.859,1,1,0.601,0.972,1.000,0.360,0.579,900,4175194,0.618,0.263,1,9,0.396,16.543,EXPLAN Rule -> ,{'credit_amount': '5179.0< credit_amount <=9572.0', 'duration_in_month': '>32', 'account_check_status': 'no checking account', 'other_installment_plans': 'none'},LORE Rule ->,{'age': '>26', 'credit_amount': '<=7278', 'credit_history': 'critical account/ other credits existing (not at this bank)', 'account_check_status': 'no checking account'},Anchor Rule ->,{'account_check_status': 'no checking account'}
5,german,gt,1,4,0.692,0.909,0.967,0.110,0.384,766,393513,0.997,1.547,1,1,1.782,0.856,0.994,0.900,0.531,1034,77381,0.975,6.520,1,2,0.592,1.000,1.000,0.060,0.138,5814,9393804,0.681,0.666,1,9,0.083,16.357,EXPLAN Rule -> ,{'credit_amount': '2039.0< credit_amount <=2445.0', 'age': '>23', 'duration_in_month': '<=25'},LORE Rule ->,{'duration_in_month': '<=36'},Anchor Rule ->,{'age': '>42.00', 'property': 'real estate'}
6,german,gt,1,3,0.641,1.000,0.976,0.080,0.391,724,303914,0.996,1.464,1,2,2.871,0.831,0.991,0.770,0.546,987,962935,0.946,6.651,1,2,0.568,1.000,1.000,0.040,0.080,5100,8212885,0.672,0.610,1,10,0.088,16.405,EXPLAN Rule -> ,{'credit_amount': '1979.0< credit_amount <=2366.0', 'duration_in_month': '<=22'},LORE Rule ->,{'credit_amount': '<=4163', 'age': '>20'},Anchor Rule ->,{'account_check_status': '>= 200 DM / salary assignments for at least 1 year', 'property': 'real estate'}
